x,y,w,h,frame,code
629,0,1228,719,3,1
163,37,662,719,3,2
621,0,1227,719,4,1
158,38,665,719,4,2
622,0,1233,719,5,1
158,45,660,719,5,2
621,0,1235,719,6,1
155,51,653,719,6,2
622,0,1238,719,7,1
139,50,638,719,7,2
624,0,1240,719,8,1
131,52,629,719,8,2
625,0,1244,719,9,1
128,55,625,719,9,2
625,0,1247,719,10,1
112,58,613,719,10,2
626,0,1249,719,11,1
98,61,604,719,11,2
623,0,1250,719,12,1
82,55,608,719,12,2
623,0,1251,719,13,1
66,47,613,719,13,2
621,0,1252,719,14,1
57,41,616,719,14,2
617,0,1252,719,15,1
53,39,623,719,15,2
616,0,1252,719,16,1
45,34,630,719,16,2
616,0,1250,719,17,1
35,29,633,719,17,2
616,0,1249,719,18,1
28,30,635,719,18,2
617,0,1248,719,19,1
34,33,639,719,19,2
619,0,1248,719,20,1
37,32,646,719,20,2
620,0,1249,719,21,1
35,30,651,719,21,2
621,0,1249,719,22,1
36,29,655,719,22,2
622,0,1250,719,23,1
28,21,660,719,23,2
621,0,1250,719,24,1
32,24,662,719,24,2
621,0,1251,719,25,1
34,20,666,719,25,2
623,0,1251,719,26,1
40,20,670,719,26,2
624,0,1251,719,27,1
46,19,678,719,27,2
621,0,1250,719,28,1
54,25,675,719,28,2
620,0,1249,719,29,1
62,29,675,719,29,2
619,0,1247,719,30,1
68,31,677,719,30,2
616,0,1244,719,31,1
71,31,682,719,31,2
607,0,1237,719,32,1
65,31,682,719,32,2
598,0,1231,719,33,1
65,33,679,719,33,2
588,0,1227,719,34,1
64,31,681,719,34,2
595,0,1235,719,35,1
66,32,678,719,35,2
599,0,1239,719,36,1
72,37,673,719,36,2
612,0,1245,719,37,1
107,47,689,719,37,2
616,0,1250,719,38,1
119,49,693,719,38,2
616,0,1253,719,39,1
101,43,680,719,39,2
620,0,1256,719,40,1
92,33,675,719,40,2
620,0,1255,719,41,1
91,29,671,719,41,2
620,0,1255,719,42,1
89,22,669,719,42,2
621,0,1254,719,43,1
88,18,663,719,43,2
619,0,1253,719,44,1
93,21,658,719,44,2
619,0,1254,719,45,1
93,21,651,719,45,2
622,0,1253,719,46,1
90,27,642,719,46,2
620,0,1250,719,47,1
82,30,635,719,47,2
620,0,1247,719,48,1
78,29,640,719,48,2
621,0,1244,719,49,1
64,29,632,719,49,2
625,0,1241,719,50,1
57,33,626,719,50,2
623,0,1237,719,51,1
50,32,621,719,51,2
619,0,1232,719,52,1
48,30,626,719,52,2
623,0,1238,719,53,1
50,30,631,719,53,2
629,0,1245,719,54,1
49,27,637,719,54,2
634,0,1251,719,55,1
54,26,648,719,55,2
630,0,1248,719,56,1
59,29,654,719,56,2
634,0,1252,719,57,1
65,35,655,719,57,2
635,0,1252,719,58,1
70,30,661,719,58,2
638,0,1254,719,59,1
71,32,660,719,59,2
641,0,1252,719,60,1
71,29,662,719,60,2
645,0,1252,719,61,1
70,24,667,719,61,2
650,0,1252,719,62,1
68,19,672,719,62,2
653,0,1253,719,63,1
71,23,670,719,63,2
654,0,1253,719,64,1
66,22,673,719,64,2
656,0,1252,719,65,1
64,22,675,719,65,2
657,0,1253,719,66,1
61,20,676,719,66,2
657,0,1254,719,67,1
60,17,678,719,67,2
657,0,1254,719,68,1
62,18,680,719,68,2
656,0,1255,719,69,1
62,17,682,719,69,2
656,0,1254,719,70,1
63,17,684,719,70,2
656,0,1254,719,71,1
66,19,683,719,71,2
656,0,1252,719,72,1
64,15,686,719,72,2
655,0,1251,719,73,1
66,15,686,719,73,2
655,0,1249,719,74,1
67,14,685,719,74,2
654,0,1248,719,75,1
67,12,688,719,75,2
654,0,1247,719,76,1
66,11,687,719,76,2
654,0,1247,719,77,1
67,13,685,719,77,2
652,0,1246,719,78,1
65,13,684,719,78,2
652,0,1246,719,79,1
64,14,681,719,79,2
651,0,1246,719,80,1
66,16,680,719,80,2
652,0,1247,719,81,1
68,20,676,719,81,2
653,0,1248,719,82,1
71,24,675,719,82,2
653,0,1248,719,83,1
72,27,673,719,83,2
652,0,1248,719,84,1
72,26,674,719,84,2
652,0,1248,719,85,1
70,24,676,719,85,2
653,0,1248,719,86,1
69,24,678,719,86,2
655,0,1247,719,87,1
69,26,677,719,87,2
654,0,1248,719,88,1
67,27,677,719,88,2
654,0,1248,719,89,1
66,27,677,719,89,2
653,0,1247,719,90,1
66,26,677,719,90,2
651,0,1246,719,91,1
66,26,677,719,91,2
649,0,1247,719,92,1
67,26,676,719,92,2
646,0,1246,719,93,1
68,29,675,719,93,2
641,0,1244,719,94,1
68,29,676,719,94,2
639,0,1244,719,95,1
68,28,679,719,95,2
636,0,1244,719,96,1
67,26,681,719,96,2
635,0,1244,719,97,1
68,27,684,719,97,2
